model,fold,seed,n_eval,accuracy,precision,recall,f1,roc_auc,fpr,fnr,tn,fp,fn,tp
deberta-v3,0,42,304,0.5986842105263158,0.5547445255474452,1.0,0.7136150234741784,0.9450095221606648,0.8026315789473685,0.0,30,122,0,152
deberta-v3,1,42,304,0.5131578947368421,0.5066666666666667,1.0,0.672566371681416,0.6289387119113573,0.9736842105263158,0.0,4,148,0,152
deberta-v3,2,42,304,0.5,0.5,1.0,0.6666666666666666,0.8138201177285318,1.0,0.0,0,152,0,152
deberta-v3,3,42,304,0.5394736842105263,0.5205479452054794,1.0,0.6846846846846847,0.9373917936288089,0.9210526315789473,0.0,12,140,0,152
deberta-v3,4,42,304,0.5296052631578947,0.5152542372881356,1.0,0.680089485458613,0.9431916551246537,0.9407894736842105,0.0,9,143,0,152
deberta-v3,5,42,304,0.5427631578947368,0.5223367697594502,1.0,0.6862302483069977,0.551549515235457,0.9144736842105263,0.0,13,139,0,152
deberta-v3,6,42,304,0.5032894736842105,0.5016501650165016,1.0,0.6681318681318681,0.9192131232686981,0.993421052631579,0.0,1,151,0,152
deberta-v3,7,42,304,0.5131578947368421,0.5066666666666667,1.0,0.672566371681416,0.9529735110803325,0.9736842105263158,0.0,4,148,0,152
deberta-v3,8,42,304,0.5131578947368421,0.5066666666666667,1.0,0.672566371681416,0.5430444944598338,0.9736842105263158,0.0,4,148,0,152
deberta-v3,9,42,304,0.506578947368421,0.5033112582781457,1.0,0.6696035242290749,0.6665079639889196,0.9868421052631579,0.0,2,150,0,152
deberta-v3,10,42,304,0.5098684210526315,0.5049833887043189,1.0,0.6710816777041942,0.7464075484764543,0.9802631578947368,0.0,3,149,0,152
deberta-v3,11,42,304,0.5032894736842105,0.5016501650165016,1.0,0.6681318681318681,0.8215244113573407,0.993421052631579,0.0,1,151,0,152
deberta-v3,12,42,304,0.5296052631578947,0.5152542372881356,1.0,0.680089485458613,0.8462820290858727,0.9407894736842105,0.0,9,143,0,152
deberta-v3,13,42,304,0.5,0.5,1.0,0.6666666666666666,0.8598294667590028,1.0,0.0,0,152,0,152
deberta-v3,14,42,304,0.5855263157894737,0.5467625899280576,1.0,0.7069767441860465,0.924645083102493,0.8289473684210527,0.0,26,126,0,152
