fold,held_out_topic,baseline,accuracy,recall,roc_auc,n_test
0,Distance learning,length_only,0.7636700648748842,0.7922077922077922,0.8536813715385143,4314
0,Distance learning,tfidf,0.9944392956441149,0.9888682745825603,0.9991616848759707,4314
1,Car-free cities,length_only,0.5497076023391813,0.6042884990253411,0.5602027594435516,4102
1,Car-free cities,tfidf,0.99317738791423,0.98635477582846,0.9999848006414129,4102
2,Does the electoral college work?,length_only,0.55,0.6604651162790698,0.5133126014061655,3440
2,Does the electoral college work?,tfidf,0.9895348837209302,0.9790697674418605,0.9996268253109789,3440
3,Seeking multiple opinions,length_only,0.7190721649484536,0.8015463917525774,0.7851259432458284,3104
3,Seeking multiple opinions,tfidf,0.9819587628865979,0.9690721649484536,0.9989836858327134,3104
4,Mandatory extracurricular activities,length_only,0.7425320056899004,0.8005698005698005,0.7977046102046103,2812
4,Mandatory extracurricular activities,tfidf,0.9900426742532006,0.9829059829059829,0.999530562030562,2812
5,Summer projects,length_only,0.8466386554621849,0.9159663865546218,0.910511263328861,1902
5,Summer projects,tfidf,0.9915966386554622,0.9915966386554622,0.9997704964338676,1902
6,Facial action coding system,length_only,0.5577342047930284,0.5545851528384279,0.5690810708183026,1834
6,Facial action coding system,tfidf,0.9847494553376906,0.9737991266375546,0.9994494019365863,1834
7,Community service,length_only,0.6472727272727272,0.6642335766423357,0.6717179731302232,1100
7,Community service,tfidf,0.9854545454545455,0.9781021897810219,0.995874325610917,1100
8,"""A Cowboy Who Rode the Waves""",length_only,0.6259541984732825,0.6030534351145038,0.6740574558592156,1046
8,"""A Cowboy Who Rode the Waves""",tfidf,0.9961832061068703,0.9923664122137404,1.0,1046
9,Grades for extracurricular activities,length_only,0.6693877551020408,0.7540983606557377,0.6876582700253232,980
9,Grades for extracurricular activities,tfidf,0.9959183673469387,0.9918032786885246,1.0,980
10,Cell phones at school,length_only,0.6206896551724138,0.6896551724137931,0.64971016646849,926
10,Cell phones at school,tfidf,0.9956896551724138,0.9913793103448276,1.0,926
11,Phones and driving,length_only,0.6442307692307693,0.7019230769230769,0.669424926035503,830
11,Phones and driving,tfidf,0.9759615384615384,0.9711538461538461,0.9970414201183433,830
12,Driverless cars,length_only,0.5,0.5494505494505495,0.4766936360342954,728
12,Driverless cars,tfidf,0.989010989010989,0.978021978021978,0.9995169665499336,728
13,Exploring Venus,length_only,0.5286624203821656,0.46153846153846156,0.606053229470951,628
13,Exploring Venus,tfidf,0.9872611464968153,0.9743589743589743,0.9996754300551769,628
14,The Face on Mars,length_only,0.6580645161290323,0.7532467532467533,0.6555944055944055,620
14,The Face on Mars,tfidf,0.9806451612903225,0.961038961038961,0.999000999000999,620
