model,hf_id,fold,held_out_topic,seed,n_train,n_val,n_test,best_val_accuracy,max_len,lr,batch_size,epochs,accuracy,precision,recall,f1,roc_auc,fpr,fnr,tn,fp,fn,tp
deberta-v3,microsoft/deberta-v3-small,0,Distance learning,42,23966,4230,4314,0.9959810874704492,256,2e-05,8,3,0.9879462216040797,0.9888527635856944,0.9870190078813167,0.9879350348027842,0.9984699039192512,0.011126564673157162,0.012980992118683357,2133,24,28,2129
deberta-v3,microsoft/deberta-v3-small,1,Car-free cities,42,26252,4632,4102,0.9967616580310881,256,2e-05,8,3,0.9960994636762555,0.9936923823386705,0.9985372988785958,0.9961089494163424,0.9998915989417584,0.006338371526084837,0.0014627011214041932,2038,13,3,2048
deberta-v3,microsoft/deberta-v3-small,2,Does the electoral college work?,42,26814,4732,3440,0.9972527472527473,256,2e-05,8,3,0.9947674418604651,0.9902073732718893,0.9994186046511628,0.9947916666666666,0.9999844510546242,0.009883720930232558,0.0005813953488372093,1703,17,1,1719
deberta-v3,microsoft/deberta-v3-small,3,Seeking multiple opinions,42,23578,4160,3104,0.9930288461538461,256,2e-05,8,3,0.9600515463917526,0.9327272727272727,0.9916237113402062,0.9612742036227357,0.9968431156339673,0.07152061855670103,0.008376288659793814,1441,111,13,1539
deberta-v3,microsoft/deberta-v3-small,4,Mandatory extracurricular activities,42,27348,4826,2812,0.9948197264815583,256,2e-05,8,3,0.9836415362731152,0.9735376044568245,0.9943100995732574,0.983814215341309,0.9981859901377758,0.02702702702702703,0.005689900426742532,1368,38,8,1398
deberta-v3,microsoft/deberta-v3-small,5,Summer projects,42,28122,4962,1902,0.9963724304715841,256,2e-05,8,3,0.9779179810725552,0.9642492339121552,0.9926393270241851,0.9782383419689119,0.9980871317037465,0.03680336487907466,0.007360672975814932,916,35,7,944
deberta-v3,microsoft/deberta-v3-small,6,Facial action coding system,42,28180,4974,1834,0.9955770004020909,256,2e-05,8,3,0.9923664122137404,0.995609220636663,0.9890948745910578,0.9923413566739606,0.9996693975066864,0.004362050163576881,0.010905125408942203,913,4,10,907
deberta-v3,microsoft/deberta-v3-small,7,Community service,42,28804,5084,1100,0.996066089693155,256,2e-05,8,3,0.9863636363636363,0.9785330948121646,0.9945454545454545,0.9864743011722272,0.9996595041322315,0.02181818181818182,0.005454545454545455,538,12,3,547
deberta-v3,microsoft/deberta-v3-small,8,"""A Cowboy Who Rode the Waves""",42,28850,5092,1046,0.9970542026708562,256,2e-05,8,3,0.9646271510516252,0.9354838709677419,0.9980879541108987,0.96577243293247,0.9995722574206025,0.06883365200764818,0.0019120458891013384,487,36,1,522
deberta-v3,microsoft/deberta-v3-small,9,Grades for extracurricular activities,42,28906,5102,980,0.9970599764798118,256,2e-05,8,3,0.9918367346938776,0.9918367346938776,0.9918367346938776,0.9918367346938776,0.9993794252394835,0.00816326530612245,0.00816326530612245,486,4,4,486
deberta-v3,microsoft/deberta-v3-small,10,Cell phones at school,42,28952,5110,926,0.9947162426614481,256,2e-05,8,3,0.9946004319654428,0.9935344827586207,0.9956803455723542,0.9946062567421791,0.9997480979059472,0.0064794816414686825,0.004319654427645789,460,3,2,461
deberta-v3,microsoft/deberta-v3-small,11,Phones and driving,42,29034,5124,830,0.9953161592505855,256,2e-05,8,3,0.9867469879518073,0.9832535885167464,0.9903614457831326,0.9867947178871549,0.9997038757439397,0.016867469879518072,0.00963855421686747,408,7,4,411
deberta-v3,microsoft/deberta-v3-small,12,Driverless cars,42,29120,5138,728,0.9970805760996496,256,2e-05,8,3,0.9958791208791209,0.9945205479452055,0.9972527472527473,0.9958847736625515,0.9998792416374834,0.005494505494505495,0.0027472527472527475,362,2,1,363
