uid,fold,grade,markers,words,pred
33e046fb0b05dcb6a28b2852104430fe,0,4,0.0,384,0
65ecc5989db168833f061c9b39c6041b,0,5,0.0,521,0
2c7ce5cf73acbb85ba74049a9edeafdf,0,5,3.937007874015748,508,0
21dd265c6327d957c7834bf769964554,0,3,0.0,258,0
044832a1e12bddc52507b4c1b815534d,0,4,2.0491803278688523,488,0
7cba2e704262c9002583e564112fa0fa,0,3,6.802721088435374,441,0
f5407678ed85290bc06bdf4dbdaa67de,0,4,1.7699115044247788,565,0
65b751d910bec65999dd153f504f75c0,0,4,5.115089514066496,391,0
c024839860a2e2759817e189a16cf186,0,5,6.954102920723226,719,0
609b42e72970b89f74461728cdb91483,0,4,2.0120724346076457,497,0
36bf5e3aaf3edd827ba261404f3fff12,0,4,0.0,516,0
48f0eb56a4ed90112abc6bb9eee50da5,0,4,5.58659217877095,358,0
a31c3647374d49165be3ddb63404f10a,0,1,0.0,382,0
c7111eb12847d56e2b618d11ea6c936b,0,2,0.0,279,0
d9d5b3186e36ada1c8320a61040dc12f,0,5,6.2761506276150625,478,0
1c806039caa4d17fd6635e6f8292b9ad,0,3,2.0964360587002098,477,0
69bbdae4358ba22415a86be6d0652665,0,3,1.7953321364452424,557,0
17a7fc416ed40fb0b83aed70ac451049,0,4,0.0,616,0
5ae0933272c19df2ea021db996d3a65f,0,3,2.6737967914438503,374,0
4cbd095f9260747f1f8c6fbea41bf631,0,4,2.0833333333333335,480,0
a1bf8da98b180d211e133416677ada94,0,6,2.014098690835851,993,1
7ada640d7979ac7219b66186173fa7a8,0,3,3.690036900369004,271,0
914ae32b7b0a20ec091e6daa0bea2bce,0,4,14.705882352941176,408,0
103caee8bf583830e16a647f9f39151d,0,4,7.547169811320755,530,0
644b4dc40bd3245b37e5546f31b0240d,0,5,0.0,743,0
cd69235c43a4220df3c309cd288df926,0,4,0.0,545,0
c4496d2d249c6a7534eddc9d53723f0a,0,4,0.0,333,0
9919abee1c11f653bb77f5c3727e0aac,0,4,4.040404040404041,495,0
f361aabca20d0e3a1f8790420d99d628,0,3,0.0,500,0
9ea8f8977186373c4d0fd35748efeee6,0,3,14.851485148514852,404,0
29fb238ad64491178103f546b39d3131,0,3,7.6923076923076925,390,0
0c4921713d21148b1f7be5f414fc1da3,0,3,0.0,260,0
c2dcfc29ecc8a668ddf470f5664c324e,0,6,1.2106537530266344,826,0
cb31a2d9aa854121f339b580bbfd1f52,0,4,11.933174224343675,419,0
04a1a5b848f4ca48ca96b76fca7b68d0,0,3,3.1545741324921135,317,0
f727f1f4c0144564bb4c21d59ae4617b,0,3,0.0,632,0
162dce7eec730e75af48bb369344ae6d,0,5,5.839416058394161,685,0
5b15c47ee8a6642fd858a7e7608b07a7,0,4,2.109704641350211,474,0
e32c76538a7ca0da03e69ef42315f4e9,0,5,0.0,790,0
14b060ead53e708b83aefc31a7c047cd,0,6,8.714596949891067,918,0
a1bd334b2522bb4a94b661755da9c733,0,5,1.3774104683195592,726,0
ca5c1cf5108f076055e1b1748e9ddc22,0,4,3.003003003003003,333,0
fd5ba67322c7b71fd64c57656e0a6ad4,0,4,4.975124378109452,402,0
db77345964d9e95d7a1eed1adcfbc4b3,0,5,6.920415224913495,578,0
c8e58c73e9842eb4d824664cedb36f86,0,4,0.0,691,0
d3045dd6453e82b3337f0fa7c017dba4,0,6,5.326231691078562,751,0
05ff3a59723e2672823d38bc46da8dba,0,6,2.628120893561104,761,0
22716e113c5aa3aaabc529004f8f0e89,0,4,0.0,479,0
e8596025a836e0e8aef85ce09eb0e669,0,5,1.5748031496062993,635,0
9640a2a58dea2f52f06189f061823c6b,0,4,0.0,411,0
a024c9e035a3c513f90a7f644a8e2d3e,0,5,1.2165450121654502,822,0
bbf64f9bd6b3f070c0d86a545410b45e,0,4,1.6891891891891893,592,0
f83d5cebcf40cc3fc130a75686f6affd,0,2,0.0,697,0
8e0bd93c76964583f06d99e9c2703f80,0,5,2.824858757062147,708,0
7dcecea8d862e9fb18d89ac8480d2be7,0,3,0.0,358,0
63d5394c3a5c62b9376b0318f1704ec8,0,5,3.067484662576687,652,0
90c9b61fd20ed9a03c658d27d3614ff7,0,5,1.8656716417910448,536,0
415760c02600bdb24d59f29b524b10c3,0,3,3.7313432835820897,268,0
0793d425761c561a4b8a93a2abdd6b49,0,5,5.870841487279844,1022,0
444e947bfe7bb7885b86a2292f62ca69,0,5,1.440922190201729,694,0
