condition,model,hf_id,seed,eval_set,n_eval,best_val_accuracy,max_len,lr,batch_size,epochs,accuracy,precision,recall,f1,roc_auc,fpr,fnr,tn,fp,fn,tp
pooled,bert,bert-base-uncased,42,indist,4462,0.9971187943262412,256,2e-05,8,5,0.9952935903182429,0.9981965734896303,0.9923800986104886,0.99527983816588,0.9997255573786993,0.0017929179740026895,0.00761990138951143,2227,4,17,2214
pooled,bert,bert-base-uncased,42,hf_pile,19214,0.9971187943262412,256,2e-05,8,5,0.34651816383886747,0.38584810714562207,0.5187883834703861,0.4425501687089327,0.30496017696578914,0.8257520557926512,0.4812116165296138,1674,7933,4623,4984
pooled,bert,bert-base-uncased,42,abstract,304,0.9971187943262412,256,2e-05,8,5,0.5164473684210527,0.5083612040133779,1.0,0.6740576496674058,0.7789343836565097,0.9671052631578947,0.0,5,147,0,152
pooled,roberta,roberta-base,42,indist,4462,0.9984485815602837,256,2e-05,8,5,0.9982070820259973,0.9973154362416108,0.9991035410129987,0.9982086878638603,0.9999425398318507,0.002689376961004034,0.0008964589870013447,2225,6,2,2229
pooled,roberta,roberta-base,42,hf_pile,19214,0.9984485815602837,256,2e-05,8,5,0.3948162797959821,0.43814653853216623,0.7450817112522119,0.5518038852913969,0.17900004473725176,0.9554491516602477,0.25491828874778805,428,9179,2449,7158
pooled,roberta,roberta-base,42,abstract,304,0.9984485815602837,256,2e-05,8,5,0.5032894736842105,0.5016501650165016,1.0,0.6681318681318681,0.3956457756232687,0.993421052631579,0.0,1,151,0,152
pooled,deberta-v3,microsoft/deberta-v3-small,42,indist,4462,0.9971187943262412,256,2e-05,8,5,0.9968623935454953,0.9955297273133661,0.9982070820259973,0.9968666069829901,0.9999041660831914,0.0044822949350067235,0.0017929179740026895,2221,10,4,2227
pooled,deberta-v3,microsoft/deberta-v3-small,42,hf_pile,19214,0.9971187943262412,256,2e-05,8,5,0.44113667117726657,0.46676071239640277,0.8265847819298429,0.5966190833959429,0.2728481482131173,0.9443114395753097,0.17341521807015717,535,9072,1666,7941
pooled,deberta-v3,microsoft/deberta-v3-small,42,abstract,304,0.9971187943262412,256,2e-05,8,5,0.5,0.5,1.0,0.6666666666666666,0.26214075484764543,1.0,0.0,0,152,0,152
pooled,distilbert,distilbert-base-uncased,42,indist,4462,0.9968971631205674,256,2e-05,8,5,0.9948453608247423,0.9941808415398389,0.9955177050649933,0.9948488241881299,0.9998111449018868,0.00582698341550874,0.0044822949350067235,2218,13,10,2221
pooled,distilbert,distilbert-base-uncased,42,hf_pile,19214,0.9968971631205674,256,2e-05,8,5,0.35515769751223064,0.41415263125424145,0.6987613198709275,0.5200650759219089,0.11305850040883825,0.9884459248464661,0.30123868012907257,111,9496,2894,6713
pooled,distilbert,distilbert-base-uncased,42,abstract,304,0.9968971631205674,256,2e-05,8,5,0.5,0.5,1.0,0.6666666666666666,0.6762248961218836,1.0,0.0,0,152,0,152
pooled,electra,google/electra-base-discriminator,42,indist,4462,0.9980053191489362,256,2e-05,8,5,0.996638278798745,0.9959713518352731,0.997310623038996,0.9966405375139977,0.9999491698512526,0.004034065441506051,0.002689376961004034,2222,9,6,2225
pooled,electra,google/electra-base-discriminator,42,hf_pile,19214,0.9980053191489362,256,2e-05,8,5,0.3683772249401478,0.41883304448295783,0.6791922556469241,0.5181450011911379,0.2620512366892184,0.9424378057666285,0.3208077443530759,553,9054,3082,6525
pooled,electra,google/electra-base-discriminator,42,abstract,304,0.9980053191489362,256,2e-05,8,5,0.5197368421052632,0.5100671140939598,1.0,0.6755555555555556,0.9252726800554015,0.9605263157894737,0.0,6,146,0,152
xprompt_p0to1,bert,bert-base-uncased,42,other_assignment,1566,0.9981572481572482,256,2e-05,8,5,0.9840357598978289,0.979746835443038,0.9885057471264368,0.9841068022886205,0.9974098377233975,0.020434227330779056,0.011494252873563218,767,16,9,774
xprompt_p0to1,roberta,roberta-base,42,other_assignment,1566,0.9984643734643734,256,2e-05,8,5,0.9929757343550447,0.9923469387755102,0.9936143039591315,0.9929802169751116,0.9984178479796572,0.007662835249042145,0.006385696040868455,777,6,5,778
xprompt_p0to1,deberta-v3,microsoft/deberta-v3-small,42,other_assignment,1566,0.9987714987714987,256,2e-05,8,5,0.9936143039591315,0.9911054637865311,0.9961685823754789,0.9936305732484076,0.9991828266369157,0.008939974457215836,0.0038314176245210726,776,7,3,780
xprompt_p0to1,distilbert,distilbert-base-uncased,42,other_assignment,1566,0.9969287469287469,256,2e-05,8,5,0.9744572158365262,0.9720457433290979,0.9770114942528736,0.9745222929936306,0.9965567805000579,0.0280970625798212,0.022988505747126436,761,22,18,765
xprompt_p0to1,electra,google/electra-base-discriminator,42,other_assignment,1566,0.9975429975429976,256,2e-05,8,5,0.9872286079182631,0.9847522236340533,0.9897828863346104,0.9872611464968153,0.9985483347442214,0.01532567049808429,0.010217113665389528,771,12,8,775
xprompt_p1to0,bert,bert-base-uncased,42,other_assignment,16372,0.9967741935483871,256,2e-05,8,5,0.9160762277058392,0.8592827004219409,0.9951136086000488,0.9222234801313257,0.9889680730492235,0.1629611531883704,0.004886391399951136,6852,1334,40,8146
xprompt_p1to0,roberta,roberta-base,42,other_assignment,16372,0.9967741935483871,256,2e-05,8,5,0.9703762521377962,0.9631901840490797,0.9781333984852186,0.970604279047215,0.9928545778043819,0.03738089420962619,0.021866601514781335,7880,306,179,8007
xprompt_p1to0,deberta-v3,microsoft/deberta-v3-small,42,other_assignment,16372,0.9935483870967742,256,2e-05,8,5,0.9720254092352797,0.971104608632041,0.97300268751527,0.9720527215035392,0.9954948990455181,0.02895186904471048,0.026997312484730026,7949,237,221,7965
xprompt_p1to0,distilbert,distilbert-base-uncased,42,other_assignment,16372,0.9967741935483871,256,2e-05,8,5,0.9430124602980698,0.9189095529629202,0.9717810896652822,0.944606067802648,0.9899669076215948,0.08575616906914243,0.028218910334717812,7484,702,231,7955
xprompt_p1to0,electra,google/electra-base-discriminator,42,other_assignment,16372,0.9935483870967742,256,2e-05,8,5,0.9742853652577571,0.9547850532974113,0.9957244075250428,0.9748250911917719,0.9983542602725097,0.047153677009528466,0.0042755924749572445,7800,386,35,8151
