condition,model,eval_set,n_eval,seed,accuracy,precision,recall,f1,roc_auc,fpr,fnr,tn,fp,fn,tp
pooled,bert,gpt-35,18872,42,0.7922318779143704,0.813601728647788,0.7581602373887241,0.7849031762576115,0.8750495911323171,0.17369648155998305,0.24183976261127596,7797,1639,2282,7154
pooled,bert,claude,8326,42,0.9029546000480423,0.8527865404837014,0.9740571703098727,0.9093967257232564,0.9827678768077377,0.16814797021378813,0.025942829690127314,3463,700,108,4055
pooled,bert,llama,21810,42,0.865474552957359,0.8382989559460148,0.9056396148555709,0.8706691351494313,0.9406189674023984,0.1746905089408528,0.09436038514442915,9000,1905,1029,9876
pooled,roberta,gpt-35,18872,42,0.6735905044510386,0.625671321160043,0.8642433234421365,0.7258566978193146,0.77596500378894,0.5170623145400594,0.1357566765578635,4557,4879,1281,8155
pooled,roberta,claude,8326,42,0.7360076867643526,0.6572754922362735,0.9863079509968773,0.7888568683957733,0.9507227373780976,0.514292577468172,0.013692049003122748,2022,2141,57,4106
pooled,roberta,llama,21810,42,0.7265474552957359,0.6510177883733724,0.9766162310866575,0.78125,0.9133012779073828,0.5235213204951857,0.023383768913342505,5196,5709,255,10650
pooled,deberta-v3,gpt-35,18872,42,0.62998092412039,0.5867458801895467,0.8791860958033065,0.703796394485684,0.7334734954350326,0.6192242475625265,0.12081390419669351,3593,5843,1140,8296
pooled,deberta-v3,claude,8326,42,0.6861638241652654,0.6162616261626163,0.9867883737689166,0.758703481392557,0.89452097620107,0.6144607254383858,0.013211626231083353,1605,2558,55,4108
pooled,deberta-v3,llama,21810,42,0.6751031636863823,0.6101274583309303,0.9701054562127465,0.7491148562526554,0.8519249422033186,0.6198991288399817,0.029894543787253553,4145,6760,326,10579
pooled,distilbert,gpt-35,18872,42,0.7436413734633319,0.7163153933007151,0.8068037303942348,0.7588716108452951,0.8094238729004267,0.319520983467571,0.19319626960576516,6421,3015,1823,7613
pooled,distilbert,claude,8326,42,0.832572663944271,0.7573898494143892,0.9786211866442469,0.853909033745546,0.9694899515416948,0.313475858755705,0.021378813355753062,2858,1305,89,4074
pooled,distilbert,llama,21810,42,0.8167354424575882,0.7491703938825567,0.9523154516276937,0.8386159001897686,0.9199412667569382,0.3188445667125172,0.04768454837230628,7428,3477,520,10385
pooled,electra,gpt-35,18872,42,0.6909177617634591,0.6553151133718425,0.8055320050869013,0.7227002614689803,0.7747730308608576,0.423696481559983,0.19446799491309877,5438,3998,1835,7601
pooled,electra,claude,8326,42,0.7768436223877012,0.6967059225123742,0.9805428777324046,0.8146078627020554,0.9696300219571556,0.4268556329570022,0.019457122267595484,2386,1777,81,4082
pooled,electra,llama,21810,42,0.7655662540119211,0.689727463312369,0.965428702430078,0.804616148878444,0.944541291858052,0.4342961944062357,0.034571297569922055,6169,4736,377,10528
